absolute_timestamp,gyro_x,gyro_y,gyro_z
1775858381092,0.003,-0.018,0.012
1775858381112,0.001,-0.018,0.012
1775858381132,0.007,-0.017,0.018
1775858381152,0.016,-0.018,0.015
1775858381171,0.025,-0.021,0.001
1775858381191,0.031,-0.033,-0.009
1775858381211,0.031,-0.047,-0.016
1775858381231,0.032,-0.055,-0.032
1775858381250,0.035,-0.066,-0.049
1775858381270,0.040,-0.082,-0.061
1775858381290,0.054,-0.097,-0.075
1775858381310,0.071,-0.112,-0.086
1775858381329,0.085,-0.124,-0.088
1775858381349,0.098,-0.131,-0.084
1775858381369,0.109,-0.135,-0.088
1775858381389,0.114,-0.142,-0.099
1775858381408,0.111,-0.148,-0.111
1775858381428,0.102,-0.156,-0.117
1775858381448,0.110,-0.169,-0.129
1775858381468,0.138,-0.191,-0.146
1775858381487,0.171,-0.220,-0.166
1775858381507,0.210,-0.257,-0.195
1775858381527,0.242,-0.300,-0.235
1775858381547,0.269,-0.341,-0.278
1775858381567,0.296,-0.382,-0.320
1775858381586,0.314,-0.423,-0.367
1775858381606,0.321,-0.456,-0.404
1775858381626,0.322,-0.472,-0.422
1775858381646,0.316,-0.467,-0.432
1775858381665,0.289,-0.443,-0.429
1775858381685,0.258,-0.407,-0.418
1775858381705,0.239,-0.373,-0.394
1775858381725,0.230,-0.339,-0.375
1775858381744,0.223,-0.308,-0.357
1775858381764,0.223,-0.282,-0.331
1775858381784,0.217,-0.256,-0.302
1775858381804,0.199,-0.231,-0.266
1775858381823,0.193,-0.205,-0.234
1775858381843,0.210,-0.186,-0.205
1775858381863,0.232,-0.168,-0.174
1775858381883,0.236,-0.149,-0.143
1775858381903,0.223,-0.131,-0.106
1775858381922,0.215,-0.104,-0.089
1775858381942,0.195,-0.094,-0.071
1775858381962,0.176,-0.085,-0.054
1775858381982,0.148,-0.073,-0.035
1775858382001,0.125,-0.052,-0.015
1775858382021,0.093,-0.028,-0.006
1775858382041,0.075,-0.007,-0.003
1775858382061,0.063,0.006,-0.001
1775858382080,0.048,0.013,0.005
1775858382100,0.025,0.019,0.000
1775858382120,0.006,0.018,-0.006
1775858382140,-0.005,0.001,-0.023
1775858382160,-0.015,-0.027,-0.043
1775858382179,-0.028,-0.048,-0.051
1775858382199,-0.043,-0.056,-0.051
1775858382219,-0.062,-0.060,-0.046
1775858382239,-0.089,-0.053,-0.038
1775858382258,-0.117,-0.042,-0.028
1775858382278,-0.144,-0.021,-0.018
1775858382298,-0.169,-0.006,-0.000
1775858382318,-0.188,0.010,0.016
1775858382337,-0.198,0.024,0.030
1775858382357,-0.197,0.033,0.042
1775858382377,-0.188,0.037,0.055
1775858382397,-0.177,0.038,0.066
1775858382417,-0.165,0.037,0.070
1775858382436,-0.141,0.035,0.066
1775858382456,-0.114,0.030,0.054
1775858382476,-0.088,0.025,0.048
1775858382496,-0.070,0.021,0.040
1775858382515,-0.050,0.020,0.031
1775858382535,-0.034,0.017,0.022
1775858382555,-0.020,0.015,0.016
1775858382575,-0.014,0.014,0.007
1775858382594,-0.018,0.012,0.001
