absolute_timestamp,gyro_x,gyro_y,gyro_z
1775859192202,0.064,-0.087,-0.030
1775859192222,0.055,-0.081,-0.030
1775859192241,0.043,-0.075,-0.029
1775859192261,0.038,-0.068,-0.027
1775859192281,0.040,-0.067,-0.022
1775859192301,0.036,-0.066,-0.021
1775859192320,0.027,-0.063,-0.021
1775859192340,0.021,-0.057,-0.019
1775859192360,0.020,-0.054,-0.017
1775859192380,0.021,-0.054,-0.016
1775859192400,0.019,-0.053,-0.020
1775859192419,0.014,-0.053,-0.014
1775859192439,0.008,-0.047,-0.004
1775859192459,0.008,-0.042,-0.004
1775859192479,0.009,-0.040,-0.007
1775859192498,0.009,-0.040,-0.012
1775859192518,0.008,-0.038,-0.013
1775859192538,0.006,-0.039,-0.014
1775859192558,0.005,-0.042,-0.017
1775859192577,0.004,-0.045,-0.017
1775859192597,0.005,-0.046,-0.018
1775859192617,0.007,-0.045,-0.014
1775859192637,0.008,-0.042,-0.012
1775859192657,0.007,-0.042,-0.012
1775859192676,0.004,-0.042,-0.015
1775859192696,0.002,-0.040,-0.013
1775859192716,0.006,-0.040,-0.012
1775859192736,0.007,-0.041,-0.014
1775859192755,0.007,-0.046,-0.019
1775859192775,0.007,-0.049,-0.019
1775859192795,0.005,-0.053,-0.021
1775859192815,-0.000,-0.060,-0.020
1775859192834,-0.006,-0.064,-0.018
1775859192854,-0.013,-0.064,-0.018
1775859192874,-0.024,-0.063,-0.015
1775859192894,-0.032,-0.056,-0.014
1775859192914,-0.033,-0.051,-0.018
1775859192933,-0.028,-0.052,-0.020
1775859192953,-0.024,-0.051,-0.019
1775859192973,-0.021,-0.046,-0.019
1775859192993,-0.020,-0.039,-0.019
1775859193012,-0.013,-0.033,-0.023
1775859193032,-0.009,-0.032,-0.030
1775859193052,-0.006,-0.026,-0.021
1775859193072,-0.001,-0.018,-0.013
1775859193091,0.002,-0.013,-0.012
1775859193111,0.002,-0.010,-0.016
1775859193131,-0.001,-0.010,-0.018
1775859193151,-0.004,-0.010,-0.014
1775859193171,-0.004,-0.017,-0.015
1775859193190,-0.004,-0.023,-0.015
1775859193210,-0.006,-0.025,-0.015
1775859193230,-0.005,-0.024,-0.012
1775859193250,-0.005,-0.023,-0.009
1775859193269,-0.005,-0.018,-0.008
1775859193289,-0.008,-0.014,-0.009
1775859193309,-0.010,-0.012,-0.009
1775859193329,-0.008,-0.010,-0.008
1775859193348,-0.004,-0.010,-0.006
1775859193368,-0.004,-0.008,-0.005
1775859193388,-0.003,-0.007,-0.006
1775859193408,-0.003,-0.009,-0.007
