absolute_timestamp,gyro_x,gyro_y,gyro_z
1775857206009,-0.011,0.005,-0.013
1775857206029,-0.012,0.006,-0.010
1775857206048,-0.015,0.008,-0.006
1775857206068,-0.017,0.010,-0.002
1775857206088,-0.017,0.013,0.000
1775857206108,-0.017,0.017,0.004
1775857206127,-0.019,0.021,0.007
1775857206147,-0.021,0.025,0.011
1775857206167,-0.021,0.028,0.015
1775857206187,-0.020,0.029,0.017
1775857206206,-0.022,0.028,0.019
1775857206226,-0.027,0.027,0.016
1775857206246,-0.031,0.025,0.013
1775857206266,-0.031,0.021,0.009
1775857206285,-0.029,0.015,0.005
1775857206305,-0.024,0.009,0.004
1775857206325,-0.020,0.003,-0.001
1775857206345,-0.014,-0.003,-0.008
1775857206364,-0.009,-0.011,-0.012
1775857206384,-0.009,-0.018,-0.016
1775857206404,-0.016,-0.024,-0.016
1775857206424,-0.027,-0.029,-0.015
1775857206443,-0.035,-0.032,-0.014
1775857206463,-0.036,-0.037,-0.015
1775857206483,-0.035,-0.045,-0.013
1775857206503,-0.030,-0.049,-0.006
1775857206522,-0.021,-0.055,-0.004
1775857206542,-0.008,-0.061,-0.006
1775857206562,0.003,-0.063,-0.010
1775857206582,0.008,-0.063,-0.015
1775857206601,0.011,-0.066,-0.023
1775857206621,0.006,-0.071,-0.033
1775857206641,-0.014,-0.082,-0.054
1775857206661,-0.023,-0.098,-0.051
1775857206680,-0.024,-0.107,-0.057
1775857206700,-0.020,-0.122,-0.048
1775857206720,-0.013,-0.124,-0.044
1775857206740,-0.010,-0.122,-0.047
1775857206759,-0.007,-0.119,-0.051
1775857206779,-0.012,-0.118,-0.052
1775857206799,-0.023,-0.117,-0.044
1775857206819,-0.036,-0.110,-0.030
1775857206838,-0.042,-0.095,-0.013
1775857206858,-0.044,-0.076,0.000
1775857206878,-0.050,-0.054,0.010
1775857206898,-0.055,-0.032,0.018
1775857206917,-0.051,-0.013,0.020
1775857206937,-0.042,-0.004,0.015
1775857206957,-0.042,0.000,-0.004
1775857206977,-0.042,0.004,-0.015
1775857206996,-0.038,0.010,-0.019
1775857207016,-0.028,0.012,-0.014
1775857207036,-0.016,0.011,-0.004
1775857207056,-0.010,0.014,0.007
1775857207076,0.002,0.017,0.018
1775857207095,0.015,0.019,0.026
1775857207115,0.011,0.018,0.042
1775857207135,-0.051,0.029,0.032
1775857207155,-0.091,0.022,0.049
1775857207174,-0.051,0.027,0.034
1775857207194,-0.013,0.009,-0.010
1775857207214,0.031,-0.001,-0.001
1775857207234,0.039,0.011,0.004
1775857207253,0.024,0.008,-0.002
1775857207273,0.010,-0.010,-0.015
1775857207293,0.005,-0.018,-0.015
1775857207313,0.006,-0.015,-0.008
1775857207332,0.003,-0.015,-0.001
1775857207352,-0.002,-0.009,0.007
1775857207372,-0.005,0.000,0.013
1775857207392,-0.000,0.006,0.014
1775857207411,0.008,0.011,0.015
1775857207431,0.021,0.014,0.018
1775857207451,0.030,0.016,0.016
1775857207471,0.030,0.020,0.011
1775857207490,0.024,0.022,0.007
1775857207510,0.022,0.023,0.010
1775857207530,0.021,0.024,0.011
1775857207550,0.018,0.024,0.005
1775857207569,0.015,0.021,-0.002
1775857207589,0.012,0.019,-0.007
1775857207609,0.012,0.012,-0.006
1775857207629,0.013,0.002,-0.007
1775857207648,0.013,-0.005,-0.008
1775857207668,0.010,-0.005,-0.007
1775857207688,0.007,-0.003,-0.007
1775857207708,0.007,0.000,-0.004
1775857207727,0.008,0.002,0.000
1775857207747,0.010,0.004,0.001
1775857207767,0.010,0.004,0.001
1775857207787,0.012,0.005,0.001
1775857207806,0.016,0.005,0.001
1775857207826,0.019,0.004,0.000
1775857207846,0.017,0.001,-0.001
1775857207866,0.015,-0.003,-0.003
1775857207885,0.014,-0.005,-0.005
1775857207905,0.013,-0.006,-0.005
1775857207925,0.012,-0.007,-0.006
1775857207945,0.014,-0.007,-0.005
1775857207964,0.014,-0.006,-0.004
1775857207984,0.014,-0.004,-0.002
1775857208004,0.014,-0.003,0.000
1775857208024,0.014,-0.002,0.000
1775857208043,0.014,-0.003,0.000
1775857208063,0.012,-0.004,0.000
1775857208083,0.011,-0.005,0.004
1775857208103,0.011,-0.003,0.007
1775857208122,0.009,-0.001,0.006
1775857208142,0.008,0.002,0.004
1775857208162,0.008,0.004,0.004
1775857208182,0.008,0.005,0.005
1775857208201,0.008,0.006,0.006
1775857208221,0.009,0.003,0.006
1775857208241,0.009,0.002,0.005
1775857208261,0.008,0.001,0.004
1775857208280,0.010,0.001,0.005
1775857208300,0.011,0.003,0.007
1775857208320,0.011,0.005,0.007
1775857208340,0.012,0.004,0.004
1775857208359,0.009,0.003,0.002
1775857208379,0.007,0.004,0.000
1775857208399,0.005,0.005,-0.001
1775857208419,0.007,0.003,-0.003
1775857208438,0.006,0.001,-0.003
1775857208458,0.006,-0.004,-0.006
1775857208478,0.009,-0.010,-0.010
1775857208498,0.014,-0.015,-0.017
1775857208517,0.014,-0.019,-0.021
1775857208537,0.005,-0.019,-0.020
1775857208557,-0.006,-0.014,-0.021
1775857208577,-0.013,-0.004,-0.007
1775857208596,-0.017,0.015,0.009
1775857208616,-0.022,0.031,0.013
