absolute_timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1773292813625104146,-0.583849,3.938586,8.810373,0.127671,-0.023518,0.060017
1773292813626839614,-0.583849,3.938586,8.810373,0.117897,-0.024740,0.064904
1773292813627264614,-0.574277,3.933800,8.729017,0.117897,-0.024740,0.064904
1773292813629000083,-0.574277,3.933800,8.729017,0.109345,-0.036957,0.069791
1773292813629425083,-0.583849,3.933800,8.647661,0.109345,-0.036957,0.069791
1773292813631160552,-0.583849,3.933800,8.647661,0.102014,-0.041844,0.077122
1773292813631585552,-0.593420,3.919444,8.542377,0.102014,-0.041844,0.077122
1773292813633321021,-0.593420,3.919444,8.542377,0.093462,-0.058948,0.084452
1773292813633746021,-0.598206,3.938586,8.465807,0.093462,-0.058948,0.084452
1773292813635481541,-0.598206,3.938586,8.465807,0.087354,-0.077274,0.093004
1773292813635906541,-0.607777,3.976871,8.446664,0.087354,-0.077274,0.093004
1773292813637642010,-0.607777,3.976871,8.446664,0.083688,-0.100487,0.104000
1773292813638067010,-0.602991,3.991228,8.398808,0.083688,-0.100487,0.104000
1773292813639802479,-0.602991,3.991228,8.398808,0.081245,-0.112705,0.113774
1773292813640227479,-0.559920,4.029513,8.355737,0.081245,-0.112705,0.113774
1773292813641962948,-0.559920,4.029513,8.355737,0.076358,-0.132252,0.122326
1773292813642387948,-0.535992,4.058227,8.355737,0.076358,-0.132252,0.122326
1773292813644123416,-0.535992,4.058227,8.355737,0.078802,-0.144470,0.129656
1773292813644548416,-0.516850,4.091727,8.106883,0.078802,-0.144470,0.129656
1773292813646283833,-0.516850,4.091727,8.106883,0.081245,-0.167682,0.139430
1773292813646708833,-0.497707,4.130012,7.278966,0.081245,-0.167682,0.139430
1773292813648444354,-0.497707,4.130012,7.278966,0.081245,-0.223882,0.146760
1773292813648869354,-0.473779,4.254439,6.613762,0.081245,-0.223882,0.146760
1773292813650604823,-0.473779,4.254439,6.613762,0.076358,-0.291077,0.151647
1773292813651029823,-0.497707,4.421936,6.484550,0.076358,-0.291077,0.151647
1773292813652765291,-0.497707,4.421936,6.484550,0.070249,-0.338725,0.151647
1773292813653190291,-0.535992,4.546363,7.087541,0.070249,-0.338725,0.151647
1773292813654925760,-0.535992,4.546363,7.087541,0.062919,-0.358272,0.149204
1773292813655350760,-0.550349,4.589434,7.867601,0.062919,-0.358272,0.149204
1773292813657086229,-0.550349,4.589434,7.867601,0.062919,-0.344833,0.146760
1773292813657511229,-0.478565,4.584648,8.427522,0.062919,-0.344833,0.146760
1773292813659246750,-0.478565,4.584648,8.427522,0.067806,-0.317955,0.146760
1773292813659671750,-0.387637,4.460221,8.843872,0.067806,-0.317955,0.146760
1773292813661407166,-0.387637,4.460221,8.843872,0.075136,-0.278860,0.150425
1773292813661832166,-0.248854,4.393222,9.083155,0.075136,-0.278860,0.150425
1773292813663992635,-0.153141,4.292724,9.245867,0.075136,-0.278860,0.150425
1773292813663567635,-0.153141,4.292724,9.245867,0.083688,-0.231212,0.156534
1773292813665728104,-0.153141,4.292724,9.245867,0.091019,-0.189674,0.161421
1773292813666153104,-0.090927,4.182654,9.351151,0.091019,-0.189674,0.161421
1773292813667888625,-0.090927,4.182654,9.351151,0.099571,-0.145691,0.165086
1773292813668313625,-0.023928,4.173083,9.499506,0.099571,-0.145691,0.165086
1773292813670049093,-0.023928,4.173083,9.499506,0.103236,-0.113926,0.165086
1773292813670474093,-0.014357,4.168297,9.518648,0.103236,-0.113926,0.165086
1773292813672209562,-0.014357,4.168297,9.518648,0.110567,-0.083383,0.162643
1773292813672634562,-0.009571,4.158726,9.556933,0.110567,-0.083383,0.162643
1773292813674370031,-0.009571,4.158726,9.556933,0.116675,-0.063835,0.158978
1773292813674795031,-0.004786,4.158726,9.590433,0.116675,-0.063835,0.158978
1773292813676530500,-0.004786,4.158726,9.590433,0.125227,-0.050396,0.154091
1773292813676955500,0.004786,4.153940,9.619147,0.125227,-0.050396,0.154091
1773292813678690968,0.004786,4.153940,9.619147,0.135001,-0.045509,0.154091
1773292813679115968,-0.038285,4.249653,9.643075,0.135001,-0.045509,0.154091
1773292813680851437,-0.038285,4.249653,9.643075,0.144775,-0.045509,0.129656
1773292813681276437,0.000000,4.139583,9.657433,0.144775,-0.045509,0.129656
1773292813683011906,0.000000,4.139583,9.657433,0.158214,-0.041844,0.154091
1773292813683436906,-0.052642,4.235296,9.676575,0.158214,-0.041844,0.154091
1773292813685172375,-0.052642,4.235296,9.676575,0.167988,-0.034514,0.128434
1773292813685597375,-0.062213,4.240082,9.690931,0.167988,-0.034514,0.128434
1773292813687332843,-0.062213,4.240082,9.690931,0.176540,-0.025962,0.125991
1773292813687757843,-0.086142,4.240082,9.724431,0.176540,-0.025962,0.125991
1773292813689493312,-0.086142,4.240082,9.724431,0.191201,-0.008858,0.124769
1773292813689918312,-0.114855,4.249653,9.757931,0.191201,-0.008858,0.124769
1773292813691653781,-0.114855,4.249653,9.757931,0.203418,0.015577,0.119882
1773292813692078781,-0.138784,4.268795,9.796216,0.203418,0.015577,0.119882
1773292813694239250,-0.153141,4.292724,9.853643,0.203418,0.015577,0.119882
1773292813693814250,-0.153141,4.292724,9.853643,0.213192,0.040012,0.118660
1773292813695974718,-0.153141,4.292724,9.853643,0.226631,0.069333,0.113774
1773292813696399718,-0.153141,4.316652,9.915857,0.226631,0.069333,0.113774
1773292813698135187,-0.153141,4.316652,9.915857,0.241292,0.105985,0.110108
1773292813698560187,-0.138784,4.359723,9.992428,0.241292,0.105985,0.110108
1773292813700295656,-0.138784,4.359723,9.992428,0.254731,0.140193,0.107665
1773292813700720656,-0.114855,4.412365,10.073783,0.254731,0.140193,0.107665
1773292813702456177,-0.114855,4.412365,10.073783,0.271835,0.170737,0.100335
1773292813702881177,-0.086142,4.474578,10.150353,0.271835,0.170737,0.100335
1773292813704616646,-0.086142,4.474578,10.150353,0.288939,0.197615,0.090561
1773292813705041646,-0.047856,4.541577,10.212567,0.288939,0.197615,0.090561
1773292813706777114,-0.047856,4.541577,10.212567,0.308487,0.228158,0.082009
1773292813707202114,-0.004786,4.618148,10.246066,0.308487,0.228158,0.082009
1773292813709362583,0.038285,4.680361,10.231709,0.308487,0.228158,0.082009
1773292813708937583,0.038285,4.680361,10.231709,0.325591,0.250149,0.069791
1773292813711098052,0.038285,4.680361,10.231709,0.342695,0.259923,0.057574
1773292813711523052,0.071785,4.737789,10.183853,0.342695,0.259923,0.057574
1773292813713258521,0.071785,4.737789,10.183853,0.354912,0.264810,0.042913
1773292813713683521,0.105284,4.800002,10.102497,0.354912,0.264810,0.042913
1773292813715418989,0.105284,4.800002,10.102497,0.369573,0.255036,0.027031
1773292813715843989,0.138784,4.847859,9.997213,0.369573,0.255036,0.027031
1773292813717579458,0.138784,4.847859,9.997213,0.381790,0.250149,0.011148
1773292813718004458,0.177069,4.895715,9.887143,0.381790,0.250149,0.011148
1773292813720164979,0.215354,4.938786,9.757931,0.381790,0.250149,0.011148
1773292813719739979,0.215354,4.938786,9.757931,0.392786,0.237932,-0.007178
1773292813721900396,0.215354,4.938786,9.757931,0.400116,0.224493,-0.026725
1773292813722325396,0.258425,4.981857,9.638289,0.400116,0.224493,-0.026725
1773292813724060864,0.258425,4.981857,9.638289,0.407447,0.211054,-0.046273
1773292813724485864,0.301496,5.020142,9.528220,0.407447,0.211054,-0.046273
1773292813726221333,0.301496,5.020142,9.528220,0.417221,0.202502,-0.065821
1773292813726646333,0.334995,5.053641,9.413364,0.417221,0.202502,-0.065821
1773292813728381854,0.334995,5.053641,9.413364,0.419664,0.195171,-0.085368
1773292813728806854,0.358923,5.077569,9.312865,0.419664,0.195171,-0.085368
1773292813730542323,0.358923,5.077569,9.312865,0.424551,0.191506,-0.101251
1773292813730967323,0.363709,5.091927,9.207582,0.424551,0.191506,-0.101251
1773292813732702791,0.363709,5.091927,9.207582,0.428216,0.184176,-0.117133
1773292813733127791,0.344566,5.091927,9.107083,0.428216,0.184176,-0.117133
1773292813734863260,0.344566,5.091927,9.107083,0.429438,0.182954,-0.129351
1773292813735288260,0.306281,5.082355,9.011370,0.429438,0.182954,-0.129351
1773292813737023677,0.306281,5.082355,9.011370,0.430660,0.179289,-0.136681
1773292813737448677,0.248854,5.058427,8.906086,0.430660,0.179289,-0.136681
1773292813739184198,0.248854,5.058427,8.906086,0.429438,0.174402,-0.141568
1773292813739609198,0.172283,5.020142,8.791230,0.429438,0.174402,-0.141568
1773292813741344666,0.172283,5.020142,8.791230,0.428216,0.167072,-0.140346
1773292813741769666,0.076570,4.972285,8.681161,0.428216,0.167072,-0.140346
1773292813743505135,0.076570,4.972285,8.681161,0.420886,0.159741,-0.134238
1773292813743930135,-0.033500,4.914858,8.566305,0.420886,0.159741,-0.134238
1773292813745665604,-0.033500,4.914858,8.566305,0.414777,0.149967,-0.124464
1773292813746090604,-0.143569,4.843073,8.451449,0.414777,0.149967,-0.124464
1773292813747826073,-0.143569,4.843073,8.451449,0.405003,0.135307,-0.111025
1773292813748251073,-0.258425,4.766503,8.331808,0.405003,0.135307,-0.111025
1773292813749986541,-0.258425,4.766503,8.331808,0.396451,0.125533,-0.095142
1773292813750411541,-0.363709,4.689932,8.221739,0.396451,0.125533,-0.095142
1773292813752147010,-0.363709,4.689932,8.221739,0.386677,0.113315,-0.078038
1773292813752572010,-0.459422,4.618148,8.121240,0.386677,0.113315,-0.078038
1773292813754307479,-0.459422,4.618148,8.121240,0.373238,0.099876,-0.057269
1773292813754732479,-0.545564,4.541577,8.025527,0.373238,0.099876,-0.057269
1773292813756467948,-0.545564,4.541577,8.025527,0.359799,0.086437,-0.036499
1773292813756892948,-0.617348,4.465007,7.929814,0.359799,0.086437,-0.036499
1773292813758628416,-0.617348,4.465007,7.929814,0.345139,0.070555,-0.014508
1773292813759053416,-0.674776,4.393222,7.843673,0.345139,0.070555,-0.014508
1773292813760788885,-0.674776,4.393222,7.843673,0.326813,0.060781,0.006261
1773292813761213885,-0.713061,4.331009,7.762317,0.326813,0.060781,0.006261
1773292813762949354,-0.713061,4.331009,7.762317,0.308487,0.044899,0.025809
1773292813763374354,-0.741775,4.273581,7.685746,0.308487,0.044899,0.025809
1773292813765109875,-0.741775,4.273581,7.685746,0.291382,0.033903,0.045357
1773292813765534875,-0.756132,4.220939,7.613962,0.291382,0.033903,0.045357
1773292813767270343,-0.756132,4.220939,7.613962,0.268170,0.025351,0.063683
1773292813767695343,-0.741775,4.177868,7.546963,0.268170,0.025351,0.063683
1773292813769430812,-0.741775,4.177868,7.546963,0.248622,0.016799,0.082009
1773292813769855812,-0.722632,4.139583,7.499106,0.248622,0.016799,0.082009
1773292813771591281,-0.722632,4.139583,7.499106,0.226631,0.005803,0.099113
1773292813772016281,-0.689133,4.106084,7.470392,0.226631,0.005803,0.099113
1773292813773751750,-0.689133,4.106084,7.470392,0.204640,0.005803,0.113774
1773292813774176750,-0.650848,4.086941,7.451250,0.204640,0.005803,0.113774
1773292813775912218,-0.650848,4.086941,7.451250,0.181427,0.009468,0.127213
1773292813776337218,-0.598206,4.077370,7.446464,0.181427,0.009468,0.127213
1773292813778072687,-0.598206,4.077370,7.446464,0.158214,0.009468,0.140652
1773292813778497687,-0.545564,4.067799,7.436893,0.158214,0.009468,0.140652
1773292813780233156,-0.545564,4.067799,7.436893,0.136223,0.014355,0.151647
1773292813780658156,-0.488136,4.063013,7.441679,0.136223,0.014355,0.151647
1773292813782393677,-0.488136,4.063013,7.441679,0.111788,0.016799,0.162643
1773292813782818677,-0.430708,4.058227,7.456035,0.111788,0.016799,0.162643
1773292813784554093,-0.430708,4.058227,7.456035,0.087354,0.025351,0.173638
1773292813784979093,-0.387637,4.048656,7.479964,0.087354,0.025351,0.173638
1773292813786714562,-0.387637,4.048656,7.479964,0.064141,0.037568,0.183412
1773292813787139562,-0.354138,4.039084,7.513463,0.064141,0.037568,0.183412
